2009;2009/02;49.205.834/0001-22;002- EMURG EMPR.URB.GJA SA(LIQUIDANTES);RUA WASHINGTON,227;11410-150;VILA MAIA;Guarujá;São Paulo
2009;2009/06;49.205.834/0001-22;01 CONCREBASE COM E SERV CONCRETAGEM LTDA;R. VINTE OITO DE OUTUBRO, 259;18087-080;JD DO PAÇO;Sorocaba;São Paulo
