2012	2012/04	05.789.313/0001-94	01 ENXUTO SUPERMERCADOS LTDA	RUA OTTO HERBEST,719	13150-000	erro	Cosmópolis	São Paulo	erro
2012	2012/03	05.789.313/0001-94	01 ENXUTO SUPERMERCADOS LTDA	RUA OTTO HERBEST,719	13150-000	VILA JOSE KALIL AUN	Cosmópolis	São Paulo	
2009	2009/05	03.757.239/0002-80	022008SPEED WORK TRANSPORTES LTDA	RUA JOSE BERNARDO PINTO,554	02055-001	VILA GUILHERME	São Paulo	São Paulo	
2011	2011/05	05.471.660/0008-40	02PERFOR SP VEICULOS LTDA	AV NOVE DE JULHO 129	12000-000	CENTRO	Taubaté	São Paulo	
2009	2009/01	36.542.025/0004-07	03 BRQ SOLUCOES EM INFORMATICA SA	RUA GOMES DE CARVALHO,1356	04547-005	VILA OLIMPIA	São Paulo	São Paulo	
2009	2009/08	07.886.254/0001-06	03 MEIO AMBIENTE ENGENHARIA LTDA	RUA GALEAO COUTINHO 714	11365-000	Sem Informação	São Vicente	São Paulo	
2010	2010/11	07.886.254/0001-06	03 MEIO AMBIENTE LTDA ME	AVENIDA GALEÃO COUTINHO 714	11300-000	Sem Informação	São Vicente	São Paulo	
2010	2010/08	07.886.254/0001-06	03 MEIO AMBIENTE LTDA -ME	AV GALEÃO COUTINHO 714	11365-000	PARQUE SAO VICENTE	São Vicente	São Paulo	
2008	2008/06	00.109.234/0001-71	047 - URSOS COMERCIO E FLORICULTURA LTDA ME	RUA DR ADEMAR QUEIROZ DE MORAES,71	04623-060	BROOKLIN PAULISTA	São Paulo	São Paulo	
